Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,AKP Unnamed: 3_level_1,CHP Unnamed: 4_level_1,TİP Unnamed: 5_level_1,İYİ Unnamed: 6_level_1,DEM Unnamed: 7_level_1,YRP Unnamed: 8_level_1,ZP Unnamed: 9_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark,SP Unnamed: 4_level_1,CHP Unnamed: 5_level_1,ZP Unnamed: 6_level_1,YRP Unnamed: 5_level_1,CHP Unnamed: 3_level_1,AKP Unnamed: 4_level_1,MHP Unnamed: 3_level_1,İYİ Unnamed: 4_level_1,BBP Unnamed: 6_level_1,DSP Unnamed: 4_level_1,AKP Unnamed: 5_level_1,TKP Unnamed: 6_level_1,TİP Unnamed: 7_level_1,SOL Unnamed: 8_level_1,BBP Unnamed: 4_level_1,İYİ Unnamed: 5_level_1,DP Unnamed: 5_level_1,DEM Unnamed: 8_level_1,CHP Unnamed: 6_level_1,ZP Unnamed: 7_level_1,BBP Unnamed: 5_level_1,SP Unnamed: 5_level_1,TİP Unnamed: 4_level_1,DSP Unnamed: 6_level_1,YRP Unnamed: 4_level_1
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,,2024,,,,,,2024,,2024,,,,,,,2024.0,,,,,,,,,,,,,,2024.0,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,7.821,,371,,,,,,06,,236,,,,,,,607.0,,,,,,,,,,,,,,15.0,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,566,80,,,,,,—,,244,,,,,,,,,,,,,,,,,,,,,,320.0,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,,,,,,2024,,2024,,,,,,,,,,,,,,,,,,,,,,2024.0,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,24.587,429,400,,,,,,04,,29,,,,,,,,,,,,,,,,,,,,,,166.0,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,544,312,,,,,,—,,232,,,,110,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,,,,,,2024,,2024,,,,2024,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,45.138,591,374,,,,,,35,,217,,,,—,,,,,,,,,,,,,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,,,,,,,,—,,104,,,,,413.0,,,,,,50.0,,,,,,,,,,,,517,—,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,,,,,,,,2024,,2024,,,,,2024.0,,,,,,2024.0,,,,,,,,,,,,2024,2024,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,65.502,,,,,,,,27,,145,,,,,632.0,,,,,,70.0,,,,,,,,,,,,—,263,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,67,,,,,,,2,,371,,29,,,,,,,—,,,,,,,,,,,,,,,,299
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,,,,,,,2024,,2024,,2024,,,,,,,2024,,,,,,,,,,,,,,,,2024
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,19.363,556,,,,,,,29,,141,,—,,,,,,,415,,,,,,,,,,,,,,,,—
